Q Number,Q Type,Question,Answers,,,,
,,,Option 1,Option 2,Option 3,Option 4,Correct
1,Multiple Choice,What does WCAG stand for?,Web Content Accessibility Guidelines,Website Compliance and Accessibility Guidelines,World Content Accessibility Guidelines,Web Community Access Group,Web Content Accessibility Guidelines
2,Multiple Choice,Which of the following is a principle of WCAG?,Responsive Design,Perceivable,Accessible Standards,SEO Optimization,Perceivable
3,Multiple Choice,What does the POUR acronym stand for in WCAG?,Portable Organized Useful Readable,Proactive Operable User-friendly Responsive,Perceivable Operable Understandable Responsive,Perceivable Operable Understandable Robust,Perceivable Operable Understandable Robust
4,Multiple Choice,What level of conformance is the highest in WCAG?,Level A,Level AA,Level AAA,Level AAAA,Level AAA
5,Multiple Choice,Which WCAG principle is related to making content accessible to all types of devices and assistive technologies?,Perceivable,Operable,Understandable,Robust,Robust
6,Multiple Choice,What is the purpose of alternative text for images?,To enhance SEO,To provide context for visually impaired users,To improve image loading speed,To give a brief description for mouse over,To provide context for visually impaired users
7,Multiple Choice,Which of the following is NOT a requirement under WCAG?,Keyboard accessibility,Transcripts for audio content,Semantic HTML,Responsive design,Responsive design
8,Multiple Choice,What does ARIA stand for?,Accessible Rich Internet Applications,Adaptive Rich Internet Applications,Assistive Resource Information Access,Accessibility Rule Interpretation Assistance,Accessible Rich Internet Applications
9,Multiple Choice,What is one way to make forms more accessible for users with disabilities?,Minimize form fields,Use labels and fieldset elements,Use complex form structures,Use small font sizes,Use labels and fieldset elements
10,Multiple Choice,What is the main purpose of WCAG guidelines?,To ensure websites are SEO optimized,To provide guidelines for making web content accessible to all users,To improve website performance,To enhance user interface design,To provide guidelines for making web content accessible to all users
11,Multiple Choice,Which of the following is considered a time-based media alternative?,Captions,Alt text,Keyboard navigation,Color contrast,Captions
12,Multiple Choice,According to WCAG what should be provided for non-text content?,Text descriptions,Links,Images,Animations,Text descriptions
13,Multiple Choice,What is a common way to make a website more accessible for users with limited mobility?,Enable dark mode,Increase font sizes,Allow keyboard-only navigation,Use high-resolution images,Allow keyboard-only navigation
14,Multiple Choice,Which of these is NOT one of the four main WCAG principles?,Understandable,Perceivable,Operable,Accessible,Accessible
15,Multiple Choice,Why is high contrast important in web design for accessibility?,It helps with SEO,It makes the website look more modern,It improves readability for users with visual impairments,It increases loading speeds,It improves readability for users with visual impairments
16,Multiple Choice,What is the purpose of keyboard accessibility?,To provide a faster way to navigate,To allow users with physical disabilities to navigate without a mouse,To improve SEO rankings,To prevent users from using a mouse,To allow users with physical disabilities to navigate without a mouse
17,Multiple Choice,Which level of conformance is generally required for legal compliance in many countries?,Level A,Level AA,Level AAA,Level AAAA,Level AA
18,Multiple Choice,Which of these is a benefit of using semantic HTML for accessibility?,It makes websites load faster,It improves the structure and accessibility of content for assistive technologies,It improves font rendering,It reduces need for CSS,It improves the structure and accessibility of content for assistive technologies
19,Multiple Choice,Which of the following can make text content more accessible?,Using small font sizes,Avoiding headings,Using clear simple language,Avoiding line breaks,Using clear simple language
20,Multiple Choice,Which of the following is considered an 'operable' guideline under WCAG?,Provide text alternatives for images,Use high color contrast,Make all functionality available from a keyboard,Ensure content is easy to understand,Make all functionality available from a keyboard
21,Image Question,What type of users benefit from captioning in video content?,Users with visual impairments,Users who are color-blind,Users with hearing impairments,Users with cognitive disabilities,Users with hearing impairments
22,Multiple Choice,Which ARIA role is used to indicate a region of content that updates frequently?,Alert,Navigation,Dialog,Complementary,Alert
23,Multiple Choice,What does the WCAG guideline 'Time-based Media' refer to?,Media that changes based on user input,Video compresion techniques,Timed quizzes,Content that requires captions or transcripts,Content that requires captions or transcripts
24,Multiple Choice,What is the main purpose of ARIA landmarks?,To improve the visual appearance of content,To help screen readers identify important sections of a page,To make the website more SEO-friendly,To add additional navigation menus,To help screen readers identify important sections of a page
25,Multiple Choice,Which of the following features improves accessibility for users with cognitive disabilities?,Complex navigation menus,Fast content animations,High-resolution images,Clear and simple instructions,Clear and simple instructions
26,Multiple Choice,What does the term 'focus order' refer to in accessibility?,The order in which elements recieve focus when navigating via keyboard,The visual hierarchy of elements on a page,The order in which elements are displayed in a document,The sequence in which text appears on a screen,The order in which elements recieve focus when navigating via keyboard
27,Multiple Choice,Which of the following is a benefit of using headings for web content?,Improves loading speeds,Helps with styling and color choices,Improves the page's SEO,Allows users to understand the structure of the content better,Allows users to understand the structure of the content better
28,Multiple Choice,What is an example of a WCAG 'Understandable' guideline?,Make web pages appear and operate in a predictable way,Ensure links are visually clear,Ensure audio controls are easy to find,Use high contrast colors for all text,Make web pages appear and operate in a predictable way
29,Multiple Choice,Which of these techniques is recommended to make a website accessible for screen readers?,Hide navigation elements,Use ARIA labels for interactive elements,Remove all images,Decrease the number of links,Use ARIA labels for interactive elements
30,Multiple Choice,Which of the following is an example of non-text content that requires a text alternative?,Plain text,Headings,Hyperlinks,Images,Images
31,Multiple Choice,What does 'tab order' refer to in terms of accessibility?,The order in which tabs are opened in a browser,The sequence in which users can navigate through interactive elements using the Tab Key,The order of browsing tabs when multitasking,The hierarchy of elements on a webpage,The sequence in which users can navigate through interactive elements using the Tab Key
32,Multiple Choice,Which of the following is a WCAG success criterion for 'Perceivable' content?,Keyboard accessible navigation,Sufficient contrast between text and background,Responsive design,Consistent navigation across pages,Sufficient contrast between text and background
33,Multiple Choice,What does the aria-label attribute do in HTML?,Changes the color of a label,Defines a tooltip for an element,Provides an accessible name for an element,Specifies the position of a label,Provides an accessible name for an element
34,Multiple Choice,Which of these is considered a best practice for making videos accessible?,Using autoplay,Using high-resolution video,Removing audio,Providing captions and transcripts,Providing captions and transcripts
35,Multiple Choice,What is the purpose of skip navigation links?,To allow users to bypass repetitive navigation menus,To skip ads on a page,To make a page load faster,To increase SEO rankings,To allow users to bypass repetitive navigation menus
36,Multiple Choice,Which of the following is an example of a time-based media alternative for accessibility?,Text contrast,Keyboard navigation,Audio descriptions for videos,Responsive images,Audio descriptions for videos
37,Multiple Choice,What is one of the main reasons for adding aria-live to a section of a web page?,To improve SEO,To improve the visual layout of the page,To ensure that updates to dynamic content are announced by screen readers,To make the website more responsive,To ensure that updates to dynamic content are announced by screen readers
38,Multiple Choice,Which of the following is a key reason to ensure that all form elements are properly labeled?,To assist users with screen readers in understanding the purpose of each field,To improve the appearance of the form,To make the form more interactive,To reduce the number of fields in the form,To assist users with screen readers in understanding the purpose of each field
39,Multiple Choice,What does the WCAG criterion 'Resize Text' require?,Users should be able to resize text up to 200% without losing content or functionality,Text must be resizable only on mobile devices,Text must automatically adjust size based on screen width,Text should be limited to a certain size for readability,Users should be able to resize text up to 200% without losing content or functionality
40,Image Question,What is a requirement for accessible forms under WCAG?,Forms should only use placeholder text for labels,Forms should avoid using labels altogether,Forms must be hidden from users with disabilities,Forms Must be operable via a keyboard,Forms Must be operable via a keyboard
41,Multiple Choice,What is the best practice for handling link text for accessibility?,Use 'Click here' for every link,Use descriptive link text that makes sense out of context,Make all links the same color,Use long urls as link text,Use descriptive link text that makes sense out of context
42,Multiple Choice,Which of the following is an accessible way to provide notifications to users without visual distractions?,Use pop-up windows,Display notifications in flashing text,Use ARIA alerts for screen readers,Add audio alerts only,Use ARIA alerts for screen readers
43,Multiple Choice,Which of the following best describes 'Robust' in the context of WCAG?,Content should always be available in multiple languages,Content should be designed to work with a wide range of technologies including assistive technologies,Web pages should have a responsive design,Pages should load quickly across all devices,Content should be designed to work with a wide range of technologies including assistive technologies
44,Multiple Choice,What is a common technique to ensure that users with color blindness can still understand content?,Use only bright colors,Make the entire page grayscale,Avoid using color as the only means to convey information,Provide tooltips on all elements,Avoid using color as the only means to convey information
45,Multiple Choice,Why is consistent navigation important for accessibility?,It helps search engines index the site,It reduces the need for a sitemap,It improves the site's overall performance,It ensures users with cognitive disabilities can more easily navigate the site,It ensures users with cognitive disabilities can more easily navigate the site
46,Multiple Choice,Which of the following is a WCAG guideline for making content 'Operable'?,Ensure all interactive elements are operable through a keyboard interface,Use semantic HTML for all headings,Provide transcripts for all audio content,Ensure text is resizable,Ensure all interactive elements are operable through a keyboard interface
47,Multiple Choice,What does the term 'focus management' refer to in web accessibility?,Managing the visual appearance of the website,Controlling the order in which interactive elements receive focus when navigating with a keyboard,Maintaining user engagement on the site,Ensuring that important content is highlighted,Controlling the order in which interactive elements receive focus when navigating with a keyboard
48,Multiple Choice,What is a good accessibility practice for web animations? ,Animations should always play automatically,Animations should include captions,Animations should be kept to a minimum and provide controls for users to pause or stop them,Animations should be fast and subtle,Animations should be kept to a minimum and provide controls for users to pause or stop them
49,Multiple Choice,Which of the following WCAG guidelines ensures users can navigate content at their own pace?,Timed content must provide controsl to pause stop or extend the time limit,Content should be hidden when not in use,Navigation menus should disappear after a few seconds,Users must be able to skip all text content,Timed content must provide controsl to pause stop or extend the time limit
50,Multiple Choice,Which accessibility practice improves access for users with motor impairments?,Allowing mouse-only navigation,Requiring double-click for all actions,Using small clickable areas,Providing keyboard shortcuts,Providing keyboard shortcuts
51,Image Question,Which of these techniques improves accessibility for people with hearing impairments?,Using auto-playing videos,Providing captions or transcripts for multimedia content,Increasing the volume of audio content,Removing all text content,Providing captions or transcripts for multimedia content
52,Multiple Choice,Which of these practices is important for ensuring accessibility in text links?,Ensure the link text is descriptive and meaningful on its own,Use the same color for all links and buttons,Only use images as links,Place all links at the bottom of the page,Ensure the link text is descriptive and meaningful on its own
53,Multiple Choice,What is the primary purpose of the 'role' attribute in HTML for accessibility?,To add styles to the element,To indicate the purpose of an element for assistive technologies,To change the behavior of the element,To disable the element,To indicate the purpose of an element for assistive technologies
54,Multiple Choice,What is the main reason to provide sufficient time for users to read and interact with content?,To improve the performance of the site,To allow users with cognitive or motor impairments to process the information,To reduce the bandwidth usage,To keep users engaged for longer,To allow users with cognitive or motor impairments to process the information
55,Multiple Choice,Which of the following best describes 'Understandable' in the context of WCAG Guidelines?,Content must be available in multiple languages,Web pages shuld use responsive design,Websites should include more interactive elements,Content should be easy to read and navigate,Content should be easy to read and navigate
56,Multiple Choice,What is the main accessibility issue with this line of code: `<img src='picture.jpg'>`?,The image source is invalid,The file type is not supported,The image does not have a title,The alt attribute is missing,The alt attribute is missing
57,Multiple Choice,In the following line of code which attribute improves accessibility? `<button>Click me</button>`,title,onclick,aria-label,data-id,aria-label
58,Multiple Choice,Which ARIA attribute would be used to indicate that an element is a button when it is not a native button element?,aria-pressed,role='button',aria-label,aria-expanded,role='button'
59,Multiple Choice,What is the main accessibility issue with the following form code? `<input type='text'>`,The input is missing a label,The input type is incorrect,The input is missing placeholder text,The input is too short,The input is missing a label
60,Multiple Choice,What is the purpose of the `aria-hidden` attribute?,To hide content from screen readers,To hide content from all users,To disable a form element,To increase text contrast,To hide content from screen readers
61,Multiple Choice,Which of the following code snippets provides proper accessibility for a checkbox?,<input type='checkbox'>,<input type='checkbox' aria-label='Accept Terms and Conditions'>,<input type='checkbox' id='accept'>,"<input type='checkbox' id='accept'>
<label for='accept'>Accept Terms and Conditions</label>","<input type='checkbox' id='accept'>
<label for='accept'>Accept Terms and Conditions</label>"
62,Multiple Choice,Which HTML element should be used to improve the accessibility of navigation menus?,<menu>,<nav>,<ul>,<div>,<nav>
63,Multiple Choice,What is the role of the 'lang' attribute in HTML,To define the programming language,To translate the content automatically,To declare the language of the document for screen readers,To specify language direction,To declare the language of the document for screen readers
64,Multiple Choice,Which ARIA attribute should be used to inform users that content is being dynamically updated?,aria-live,aria-label,aria-busy,aria-hidden,aria-live
65,Multiple Choice,What is the purpose of the 'tabindex' attribute in HTML,To change the style of an element,To control the order in which elements receive focus,To define the number of tab spaces in a text area,To make an element clickable,To control the order in which elements receive focus
66,Multiple Choice,What is the accessibility issue in this code? `<input type='text' placeholder='Enter your name'>',There is no issue,The placeholder text is not descriptive enough,The input is missing a label,The input type is incorrect,The input is missing a label
67,Multiple Choice,Which element should be used for creating accessible headings?,<div>,<strong>,<header>,<h1> to <h6>,<h1> to <h6>
68,Multiple Choice,What is the main accessibility issue with this code? `<table><tr><td>Item</td><td>Price</td></tr></table>`,The table is missing a caption,The table is missing a '<thead>' and '<tbody>',The table is missing '<th>' elements for headers,The table layout is incorrect,The table is missing '<th>' elements for headers
69,Multiple Choice,What is the purpose of using `role='alert'` in accessible code?,To notify screen readers that the content requires immediate attention,To display a visual alert to users,To mark a section as non-interactive,To notify screen readers that content is hidden,To notify screen readers that the content requires immediate attention
70,Multiple Choice,Which of the following is an accessible way to provide information about an image in HTML?,Using the 'alt' attribute,Adding a 'title' tag,Using a tooltip,Using a caption outside of the image tag,Using the 'alt' attribute
71,Multiple Choice,What is the main accessibility issue with the following code? `<video src='video.mp4'></video>`,The video does not include playback controls,The video format is incorrect,The video is missing captions,The video is too large,The video does not include playback controls
72,True/False,A button can be used to manually update the content of a page,TRUE,FALSE,,,TRUE
74,True/False,A time is allowed if the time limit is greater than 20 hours,TRUE,FALSE,,,TRUE
76,True/False,Re-authenticating is a Level A priority success criteria,TRUE,FALSE,,,FALSE
77,True/False,Blinking content should stop after a brief time period,TRUE,FALSE,,,TRUE
78,Image Question,This video has proper controls available,TRUE,FALSE,,,TRUE
79,Multiple Choice,What is the purpose of the `aria-controls` attribute?,To define which element is controlling the current element,To associate a controlling element with another element it affects like a dropdown,To visually hide content from users,To change the layout of an element,To associate a controlling element with another element it affects like a dropdown
80,Multiple Choice,Which of the following code snippets properly labels a form input?,<input type='text' placeholder='Email Address'>,"<label for='Email'>Email:</label>
<input id='Email' type='email'>",<input type='email' aria-label='Email Address'>,<input type='email' id='email'>,"<label for='Email'>Email:</label>
<input id='Email' type='email'>"
81,Multiple Choice,"
What is an issue with using only color to indicate required fields in a form?",Color may not display properly on all devices,Color increases page load time,Color is not allowed in form fields,Users with color blindness may not be able to distinguish the required fields,Users with color blindness may not be able to distinguish the required fields
82,Multiple Choice,What accessibility issue can arise from this code? `<a href='page.html'>Click me</a>`,The link should not open in a new tab,The link is missing the target attribute,The link text is not descriptive enough,The link url is broken,The link text is not descriptive enough
83,Multiple Choice,Which type of disability is the most common?,Color blindness,Auditory disabilities,Motor disabilities,Cognitive Disabilities,Cognitive Disabilities
115,Multiple Choice,The most important consideration for designing web content for someone with motor disabilities is the inability to use:,The hands,The legs,The eyes,The ears,The hands
116,Multiple Choice,What are the rules or checklist of items upon which the guidelines of WCAG 2.0 are based?,Level AAA,Success Criteria,Sufficient Techniques,Advisory Techniques,Success Criteria
117,Multiple Choice,Under most circumstances the WCAG level most commonly set as the minimum goal is ,Level A ,Level AA,Level AAA,Level AAB,Level AA
119,Multiple Choice,Accessibility is best approached as:,A one-time project with a defined end date,An ongoing program that requires constant commitment,A legal hassle,An optional choice that is not important,An ongoing program that requires constant commitment
120,Multiple Choice,Which of the following does NOT represent best practice in terms of creating a structured outline of the content with headings,"<h1>
<h2>
<h3>
<h4>
<h2>","<h1>
<h2>
<h2>
<h2>
<h3>
<h4>","<h1>
<h3>
<h4>
<h3>
<h4>","<h1>
<h2>","<h1>
<h3>
<h4>
<h3>
<h4>"
123,True/False,A user interface component should not initiate a change of context when it recieves focus,TRUE,FALSE,,,TRUE
124,True/False,Changing the setting of any user interace component should automatically change the context,TRUE,FALSE,,,FALSE
127,True/False,Change of context are only appropriate when the user is aware that such a change will occur in response to the user's action,TRUE,FALSE,,,TRUE
128,True/False,Users cannot initiate a change in the order of navigational mechanisms by using adaptive user agents,TRUE,FALSE,,,FALSE
129,True/False,Identical functions should have the same labels or a different accessible name,TRUE,FALSE,,,TRUE
130,Image Question,Which of the following are common help mechanisms seen on a web page?,Human contact details,Human contact mechanism,Self-help option,A fully automated contact mechanism,Human contact details Human contact mechanism Self-help option A fully automated contact mechanism
135,True/False,Screen readers will interpret color-coded text and announce changes in color,TRUE,FALSE,,,FALSE
136,True/False,ARIA was invented to increase screen reader accessibility,TRUE,FALSE,,,TRUE
137,True/False,Screen readers will read the alt text of an image within a heading as part of the heading text.,TRUE,FALSE,,,TRUE
138,True/False,Links must be visually distinguishable from the surrounding non-link text,TRUE,FALSE,,,TRUE
139,True/False,Links can be the same color as the surrounding non-link text as long as an underline appears on mouse hover and on keyboard focus,TRUE,FALSE,,,FALSE
140,True/False,Links on the same page that go to the same destination should have the same text within the link,TRUE,FALSE,,,TRUE
141,True/False,Screen readers can identify the current location within a navigation menu based on the visual styles,TRUE,FALSE,,,FALSE
142,True/False,Sighted keyboard users can navigate by headings landmarks and other semantic features just like blind screen reader users.,TRUE,FALSE,,,FALSE
143,True/False,Layout tables are not permitted by WCAG standards,TRUE,FALSE,,,FALSE
144,True/False,"WCAG stands for ""Web Compliance and Accessibility Guidelines""",TRUE,FALSE,,,FALSE
